names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,sex,cluster
CG42613,15.175987,1.062262,5.10047141697393e-52,2.8258930046134197e-49,0.685562805872757,Male,Central brain GABAergic neurons type 1
CG7646,14.963549,1.0890945,1.2706596337678234e-50,6.73394359825913e-48,0.6439641109298532,Male,Central brain GABAergic neurons type 1
Nca,12.676951,1.4180001,7.93591336356517e-37,2.931237817833208e-34,0.4200652528548124,Male,Central brain GABAergic neurons type 1
RNaseMRP:RNA,12.123267,4.807884,7.95245915335909e-34,2.5508559110603666e-31,0.22145187601957586,Male,Central brain GABAergic neurons type 1
beta-Spec,11.586042,1.0225157,4.850304604703538e-31,1.2609510915682944e-28,0.5110114192495921,Male,Central brain GABAergic neurons type 1
mt:srRNA,10.025731,2.8780947,1.1748726461728588e-23,1.8842793005527598e-21,0.20758564437194127,Male,Central brain GABAergic neurons type 1
ninaE,9.790995,1.3939434,1.2307923706929645e-22,1.923349770048275e-20,0.3172920065252855,Male,Central brain GABAergic neurons type 1
mAcon1,9.626123,1.1143733,6.202554002063862e-22,9.219869601360538e-20,0.38132137030995106,Male,Central brain GABAergic neurons type 1
28SrRNA-Psi:CR40596,9.556433,3.3546588,1.2188594650029075e-21,1.7478444728141694e-19,0.18800978792822187,Male,Central brain GABAergic neurons type 1
Alat,9.176093,1.214912,4.470156771591864e-20,5.987553943838816e-18,0.3299347471451876,Male,Central brain GABAergic neurons type 1
Tom6,9.058545,1.3827362,1.32202038051897e-19,1.66124808434492e-17,0.29771615008156604,Male,Central brain GABAergic neurons type 1
CG32544,8.815602,1.2645677,1.1904315360361583e-18,1.356090653527545e-16,0.30791190864600326,Male,Central brain GABAergic neurons type 1
Cdc14,8.394336,1.1537226,4.685363395196446e-17,4.759157868670789e-15,0.3103588907014682,Male,Central brain GABAergic neurons type 1
MED21,7.5172234,2.3238878,5.5951834049817805e-14,4.3164361090710705e-12,0.17210440456769985,Male,Central brain GABAergic neurons type 1
pcs,7.1934466,1.1487628,6.317579808720415e-13,4.4255735797984566e-11,0.2589722675367047,Male,Central brain GABAergic neurons type 1
CG31360,6.6455317,1.8963157,3.021246431379817e-11,1.779032500100898e-09,0.16924959216965743,Male,Central brain GABAergic neurons type 1
HUWE1,6.1835575,1.0017835,6.267287453860744e-10,3.223289737346355e-08,0.24796084828711257,Male,Central brain GABAergic neurons type 1
CRMP,6.108098,1.24457,1.0082549873556068e-09,5.0161714452561185e-08,0.20432300163132136,Male,Central brain GABAergic neurons type 1
Rbcn-3A,6.0450115,1.1585511,1.493991107961477e-09,7.255082715116512e-08,0.21818923327895595,Male,Central brain GABAergic neurons type 1
CG5282,5.931329,1.1910046,3.0049242470037158e-09,1.408731601797242e-07,0.20595432300163133,Male,Central brain GABAergic neurons type 1
mir-9381,5.418561,1.676734,6.008063846991702e-08,2.4089569154928243e-06,0.14477977161500816,Male,Central brain GABAergic neurons type 1
28SrRNA-Psi:CR45859,5.2730045,1.6789975,1.3420837577240957e-07,5.128106245422885e-06,0.14437194127243066,Male,Central brain GABAergic neurons type 1
CG7582,4.455786,1.3891027,8.358630870986075e-06,0.00023367741212488365,0.132952691680261,Male,Central brain GABAergic neurons type 1
Akap200,4.164023,1.0504706,3.126887713029941e-05,0.0007562229034548006,0.149673735725938,Male,Central brain GABAergic neurons type 1
Rab21,4.133008,1.1561718,3.580463677299715e-05,0.0008590998378465792,0.14274061990212072,Male,Central brain GABAergic neurons type 1
AcCoAS,4.090676,1.0864589,4.301180617974482e-05,0.0010106616155294815,0.15171288743882544,Male,Central brain GABAergic neurons type 1
Lztr1,3.9650838,1.1063519,7.337015320510446e-05,0.0016230649680889623,0.13254486133768353,Male,Central brain GABAergic neurons type 1
CG5412,3.8203049,1.4902174,0.0001332868085188009,0.002811048160757261,0.10481239804241435,Male,Central brain GABAergic neurons type 1
CG31638,3.7458203,1.0073849,0.00017980528588785476,0.0036285540226606984,0.14192495921696574,Male,Central brain GABAergic neurons type 1
CG11768,3.703906,1.1291327,0.000212304956223387,0.004235327514577519,0.1272430668841762,Male,Central brain GABAergic neurons type 1
CG1275,3.5706763,1.5405431,0.0003560605721352131,0.006687245475741314,0.100326264274062,Male,Central brain GABAergic neurons type 1
capt,3.5473688,1.3651323,0.000389099554377371,0.00721877392436191,0.10562805872756934,Male,Central brain GABAergic neurons type 1
ND-AGGG,3.5126743,1.3079857,0.00044362095988630725,0.008119062882964262,0.11215334420880914,Male,Central brain GABAergic neurons type 1
Mlc-c,3.46166,1.1154673,0.0005368552914961408,0.009594910774261672,0.12275693311582382,Male,Central brain GABAergic neurons type 1
Bet3,3.2964401,1.3408386,0.0009791844370028713,0.015850304253158032,0.10195758564437195,Male,Central brain GABAergic neurons type 1
FucTA,3.2652395,1.0909005,0.0010937152500894887,0.017495138035880285,0.1133768352365416,Male,Central brain GABAergic neurons type 1
Cdc42,3.251241,1.1630487,0.001149023846443126,0.018260041283305425,0.10481239804241435,Male,Central brain GABAergic neurons type 1
CG2991,3.2486293,1.0989588,0.0011596244830366872,0.018380575843607517,0.11215334420880914,Male,Central brain GABAergic neurons type 1
Sara,3.2382872,1.136679,0.0012024968029523382,0.019010679028775682,0.11256117455138662,Male,Central brain GABAergic neurons type 1
caz,3.0651166,1.5746838,0.002175851519220011,0.03134923660493229,0.08482871125611746,Male,Central brain GABAergic neurons type 1
CG17724,3.061495,1.7021161,0.0022023460116905157,0.03169350122372573,0.07544861337683524,Male,Central brain GABAergic neurons type 1
CG1440,3.0063484,1.1414825,0.0026440586659631105,0.037001643030337955,0.0933931484502447,Male,Central brain GABAergic neurons type 1
CG2765,3.0058029,1.0304683,0.002648806805451728,0.037025580449141185,0.10848287112561175,Male,Central brain GABAergic neurons type 1
CG32085,2.9778638,1.3801544,0.002902648818326958,0.039977837792754004,0.0901305057096248,Male,Central brain GABAergic neurons type 1
CG13603,2.928486,1.2477332,0.0034061713739624976,0.04623365576528829,0.09257748776508973,Male,Central brain GABAergic neurons type 1
Mctp,2.928103,1.4231433,0.003410370614590164,0.04623916287123416,0.08278955954323002,Male,Central brain GABAergic neurons type 1
Hsp26,-5.151614,-1.0883826,2.582537619217508e-07,9.313180781255089e-06,0.1533442088091354,Male,Central brain GABAergic neurons type 1
Hr38,-12.005127,-1.2337873,3.339505878472484e-33,1.0176309288175277e-30,0.34461663947797716,Male,Central brain GABAergic neurons type 1
mt:lrRNA,47.13384,3.1970546,0.0,0.0,0.9473114399133886,Male,Cholinergic neurons
snRNA:7SKa,41.893448,3.151767,0.0,0.0,0.8708047636232407,Male,Cholinergic neurons
Cyt-c-p,25.801683,2.2751987,8.489522252357815e-147,3.44929289113298e-143,0.6228798267773367,Male,Cholinergic neurons
Mic10b,16.726377,3.0816116,8.420681100626209e-63,2.0527936387106573e-59,0.32298809094189823,Male,Cholinergic neurons
RpL41,16.505674,1.1395341,3.3397900353045554e-61,6.784783456721204e-58,0.6853121616744857,Male,Cholinergic neurons
sun,12.981517,1.8443323,1.5576398372344216e-38,1.8986071976050365e-35,0.3309274630097438,Male,Cholinergic neurons
VhaM9.7-a,12.488772,1.0976143,8.596975071709434e-36,6.0012964812478164e-33,0.4972933958859617,Male,Cholinergic neurons
eIF4EHP,12.486353,1.0520698,8.862362512302952e-36,6.0012964812478164e-33,0.5250811981234211,Male,Cholinergic neurons
flw,12.378054,1.300294,3.4357547715335167e-35,2.2041271005380017e-32,0.4233128834355828,Male,Cholinergic neurons
CG42613,11.819434,1.0749549,3.0976268861445397e-32,1.641607570226774e-29,0.4806928906531938,Male,Cholinergic neurons
RNaseMRP:RNA,11.134467,4.1772876,8.525316611854593e-29,3.8487068215516897e-26,0.1923493323709852,Male,Cholinergic neurons
mt:srRNA,9.6828,3.3263304,3.5680812204044462e-22,1.0355081427502333e-19,0.1775532298809094,Male,Cholinergic neurons
ninaE,9.197635,1.2871066,3.6591411271104536e-20,9.291931499656109e-18,0.29339588596174665,Male,Cholinergic neurons
Nca,7.979834,1.1339352,1.4653035372030823e-15,2.289818566021586e-13,0.2789606640202093,Male,Cholinergic neurons
28SrRNA-Psi:CR40596,7.8865743,2.9206574,3.1059449239463264e-15,4.732295334747722e-13,0.15120894983760375,Male,Cholinergic neurons
AcCoAS,6.9694886,1.3619028,3.1809493716816868e-12,3.46183856173465e-10,0.20606279321544568,Male,Cholinergic neurons
Tom6,5.96929,1.4039521,2.3828824222204518e-09,1.9235068771155686e-07,0.16636593287621798,Male,Cholinergic neurons
MED21,5.6508846,1.8936381,1.596240307631618e-08,1.1836121265183007e-06,0.12847347527968242,Male,Cholinergic neurons
CG32544,4.9833775,1.2037507,6.248392132099426e-07,3.7518055023724084e-05,0.1537351136773728,Male,Cholinergic neurons
HUWE1,4.4410224,1.0834818,8.953247935585434e-06,0.00041494729690817815,0.15012630819198844,Male,Cholinergic neurons
mir-9381,4.2376876,1.6518857,2.2583373713191924e-05,0.0009692561344721703,0.10537712017322266,Male,Cholinergic neurons
28SrRNA-Psi:CR45859,4.0269475,1.5524641,5.650563291315643e-05,0.002200470158397648,0.10501623962468423,Male,Cholinergic neurons
CG5282,3.6204803,1.1253355,0.0002940566689656932,0.009432254573744301,0.11872970046914472,Male,Cholinergic neurons
CG31360,3.571744,1.8531481,0.00035461203167705695,0.011082989882337555,0.0833634067123782,Male,Cholinergic neurons
Arr1,3.1483965,1.5327536,0.0016416884722800444,0.042941074653694115,0.07975460122699386,Male,Cholinergic neurons
Hr38,-7.78407,-1.081307,7.0227953317381656e-15,1.0439128329092255e-12,0.20425839047275351,Male,Cholinergic neurons
mt:lrRNA,20.281233,3.2227287,1.8834785243220377e-91,2.2957719732961316e-87,0.9610136452241715,Male,Dopaminergic neurons
snRNA:7SKa,15.1947,2.7817113,3.834148999062238e-52,2.336722107478481e-48,0.834307992202729,Male,Dopaminergic neurons
