gene,sex_effect,treatment_effect,interaction,interaction_p,treatment_p,interaction_padj,treatment_padj
CG15080,-0.023495957255363457,-0.14497341215610504,0.14686062932014454,0.3239293065639302,0.0907149885491155,0.7948081283636865,0.508227852732338
CG5913,0.21648961305618297,-0.12193900346755981,-0.20183789730072021,0.323975553667263,0.24604798689146817,0.7948081283636865,0.5746839005977968
CG30423,0.27193355560302773,-0.33188319206237793,-0.3729619979858403,0.3241685664906814,0.11622860393339683,0.7948081283636865,0.5188827073212923
nbs,0.19191288948059096,-0.14552700519561768,-0.26035165786743186,0.32417280308098634,0.277553240200594,0.7948081283636865,0.5939050981583625
CG8237,0.34965586662292514,-0.24313330650329634,-0.40608215332031294,0.32418317304501443,0.24980467661600633,0.7948081283636865,0.5757102666235107
Ntl,-0.11364051699638361,0.28007516264915455,0.23187041282653803,0.32432222905341807,0.05338936899165106,0.7948081283636865,0.49656454088223223
RpL27A,0.22442245483398535,-0.015311241149903232,0.294200897216796,0.3244082460105413,0.9126072395908492,0.7948081283636865,0.9642854425949723
Nipped-A,0.06927573680877712,-0.06814086437225342,0.21563315391540483,0.32441178370510143,0.517167471538071,0.7948081283636865,0.7521212259679576
Dph4,0.27590906620025657,-0.33709931373596214,-0.24303150177001975,0.3244300876718305,0.03572465193125026,0.7948081283636865,0.47473694388317683
Bmcp,0.2360361218452457,-0.21976000070571944,0.25438511371612504,0.324434863266746,0.12443571292239859,0.7948081283636865,0.5191720630915562
GABPI,0.0050134658813479754,0.1322867870330806,0.43831539154052734,0.32445555728672776,0.5352046615477641,0.7948081283636865,0.762942688799202
Sph35,0.1614106893539431,0.6210769414901729,-0.5217978954315183,0.32447758130917126,0.055684137841677195,0.7948081283636865,0.49656454088223223
Nop10,-0.4202590286731718,0.07999005913734414,0.48793083429336526,0.3245143568727475,0.7315185870770704,0.7948081283636865,0.8718717537405524
Usp14,0.08884787559509322,-0.221763134002686,-0.17391920089721724,0.32459035282378984,0.04584708264103686,0.7948081283636865,0.4922627939518444
Cp18,-0.056682392954826306,0.03369502723217005,-0.27603134512901306,0.32461059092524963,0.7976834987707,0.7948081283636865,0.907268441322731
Cont,0.12881016731262235,0.09916520118713334,0.22448635101318315,0.324694428461331,0.3776996876986905,0.7948081283636865,0.66787938312938
Ipp,0.3458412885665898,-0.1190568208694458,-0.2710826396942143,0.3247066515683934,0.38019974872694207,0.7948081283636865,0.6689878641713191
CG2224,0.30208909511566195,-0.20406329631805464,-0.28111290931701705,0.32511056431929575,0.17901940692037294,0.7954304837132149,0.542309918385153
CG30108,-0.0064982697367667736,-0.0759065672755242,0.2928146272897719,0.32540289764317437,0.592589342830259,0.7954304837132149,0.7920014300349799
Ance,-0.3728249967098236,0.46976977586746205,-0.8779340982437133,0.32550108722465426,0.2969233093486047,0.7954304837132149,0.6110093593455245
PRAS40,-0.7036217451095578,0.7175263166427608,0.43687367439269975,0.32565340516843194,0.021260616829354113,0.7954304837132149,0.4565390051221851
osy,0.5076060295104983,-0.21747350692749057,0.4633585214614865,0.3256856466837825,0.35269712947637144,0.7954304837132149,0.6533998795005267
trus,0.15532231330871646,-0.2624039649963392,-0.23524761199951216,0.3257003748969722,0.0669868311529247,0.7954304837132149,0.5012336136288511
Dbp21E2,0.25617516040802035,-0.03381371498107977,-0.3559727668762209,0.3257584410263683,0.842029319596749,0.7954304837132149,0.9299854026146652
lncRNA:CR45965,0.23442175984382643,-0.3424435555934907,0.2612255215644833,0.32582622517208826,0.04265949018660574,0.7954304837132149,0.48799241778859376
CG17032,0.05640274286270155,-0.019397139549255482,-0.3788473606109619,0.3259128827902317,0.9143175749196012,0.7954304837132149,0.964908724826916
CG42676,0.08528494834899933,-0.2636771202087407,-0.2707753181457524,0.32606490299052987,0.09496080918861273,0.7954304837132149,0.5101007329200505
lncRNA:CR46004,0.028327465057373408,-0.29614400863647505,0.3669195175170894,0.326295767923347,0.1455269534311566,0.7954304837132149,0.5250795177130115
alpha-PheRS,0.4252442121505742,-0.19564235210418746,-0.25300812721252486,0.3263138652584057,0.1589678137925151,0.7954304837132149,0.533329857489812
CG12780,-0.1494317054748535,0.19231864809989918,0.5697115659713744,0.32631774778595635,0.49250209064332734,0.7954304837132149,0.7364802905434988
snoRNA:Psi28S-3308,0.04726876690983775,0.18579363450407976,0.5201307460665702,0.326344293647322,0.46935692032685394,0.7954304837132149,0.7195888828740014
Atox1,0.26242208480835005,0.013504505157469815,0.6004776954650874,0.3264120993850984,0.9623256067738398,0.7954304837132149,0.984108578393054
Rtnl1,-0.06870341300964274,0.06877255439758212,0.2568049430847159,0.32648944215592596,0.5818317895397908,0.7954304837132149,0.7883109707359816
Arp5,0.2848320007324222,-0.251151561737061,-0.26330423355102583,0.3265355892116634,0.10009524717241612,0.7954304837132149,0.51263340102399
CG7492,0.2212924957275395,-0.13924741744995206,0.2856845855712886,0.32664549038963403,0.3375014906828882,0.7954304837132149,0.6413732397543191
CG32829,0.17085191607475292,-0.30430611968040466,-0.30430716276168834,0.3269418142973935,0.08941486160213896,0.7954304837132149,0.508227852732338
Nadsyn,-0.2163636684417723,-0.24586105346679688,-0.20765638351440474,0.3269465050457158,0.057424574409763694,0.7954304837132149,0.49656454088223223
NdufAF4,0.3375118970870978,-0.22623836994171276,-0.3402960300445561,0.32697177445660297,0.21202558588896972,0.7954304837132149,0.5564871977251034
CG34342,-0.007793858647346455,0.043761745095252935,0.24700707197189326,0.32702830068425454,0.7127591692304105,0.7954304837132149,0.8632295287096491
RpS15Aa,0.4894735813140878,-0.21044278144836515,0.2266507148742667,0.327256191864536,0.10712844571423505,0.7954304837132149,0.5175015440474027
RpS18,0.45340728759765736,-0.21753168106079368,-0.17017459869384854,0.32727343191548236,0.04635443653352326,0.7954304837132149,0.4922627939518444
CG8839,0.038066685199737674,-0.00983351469039917,-0.38415229320526145,0.327302657673636,0.9572148003764385,0.7954304837132149,0.9825294545263438
Idh3g,0.2899589538574223,-0.15898990631103516,-0.18424654006958052,0.32742375462157425,0.12671072259376723,0.7954304837132149,0.5191720630915562
repo,-0.14558982849121083,0.12962710857391357,0.25222539901733376,0.3274526749099392,0.3158000601925623,0.7954304837132149,0.6263345642949574
Polr2E,0.3331962823867801,-0.35601127147674605,-0.39280676841735884,0.3274956271589525,0.11346290401910919,0.7954304837132149,0.5188827073212923
CG11050,0.1614859104156497,-0.09628868103027344,0.3020367622375484,0.32758462749179923,0.5166389695297215,0.7954304837132149,0.7519913873405815
lncRNA:CR32652,-0.13122599199414256,0.07529808208346364,0.21807455271482468,0.32760724769187993,0.48453654603146656,0.7954304837132149,0.7302630189346739
CG30394,0.04338270425796518,0.014803707599639893,-0.06699597835540794,0.32764934476176294,0.6482603903924625,0.7954304837132149,0.8234068053356421
S6k,0.06269693374633792,-0.09882354736328125,0.14275646209716797,0.32782559479387674,0.19796126675895548,0.7954304837132149,0.5500419940076595
Irbp18,-0.22846722602844222,-0.0015375614166261986,0.525593042373657,0.3278776659603369,0.9951137625974005,0.7954304837132149,0.9978493442620425
Dpck,0.2811262607574468,-0.18705487251281783,-0.44703531265258833,0.32794126451711114,0.40421357529437296,0.7954304837132149,0.6846236226908282
Polr3G,0.367371737957001,-0.36479645967483565,-0.24419987201690718,0.32795317016961845,0.02920607550777903,0.7954304837132149,0.4653567407263072
