names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
alt,-1.6502881,-0.10658658,0.09888402307933193,0.3506829669228912,0.2801973220577872
Cyp4ae1,-1.6512312,-0.88170624,0.09869137500268953,0.3503055241432098,0.013859525487432463
CG1648,-1.6531469,-0.13301544,0.09830097855344819,0.3492248987432177,0.20549682875264272
bisc,-1.6534753,-0.44019827,0.09823417269963715,0.3490893093399059,0.04007517030772845
CG9922,-1.6588418,-0.2432815,0.09714766763400234,0.3455304700294294,0.0833450786939159
Syx17,-1.6589757,-0.23220417,0.09712068018715124,0.3455304700294294,0.10993657505285412
mtSSB,-1.6595216,-0.44937146,0.09701072915611783,0.34524489859384533,0.035752877613342726
Cdc2rk,-1.6606514,-0.5175763,0.09678347230641848,0.3446373777221545,0.031383603476626734
indra,-1.6618116,-0.35844138,0.09655056340556772,0.34400900828718645,0.041249706365985433
Pfdn4,-1.6632363,-0.170924,0.09626515866477903,0.34309240320613793,0.16805261921540993
CG16903,-1.6642977,-0.3110201,0.09605295940061495,0.34263667607085035,0.06525722339675828
Dhod,-1.6645753,-0.33637276,0.09599751538800887,0.34263667607085035,0.05910265445149166
CG8173,-1.666201,-0.76023465,0.09567337927550372,0.34168263111313063,0.019074465586093492
Psa,-1.6682404,-0.26841578,0.09526801995644302,0.3408341342087126,0.06116983791402396
CG1847,-1.6689197,-0.28871998,0.09513328743805749,0.34045203775175653,0.06037115339440921
snama,-1.6692551,-0.1941437,0.09506683021293579,0.340314124365778,0.11407094197791873
TTLL12,-1.6728992,-0.5060018,0.09434712154664161,0.33783697547944025,0.028517735494479682
CG12379,-1.674188,-0.42245212,0.09409365504295049,0.3371274430683491,0.038477801268498944
Prp16,-1.6745393,-0.3191446,0.09402464458416063,0.33697923929324725,0.05299506694855532
CG10209,-1.6749612,-0.44828385,0.0939418534716642,0.33678154469591615,0.03782006107587503
Chd1,-1.6751573,-0.14950813,0.09390337150522761,0.3367426287958868,0.1914493774958891
Df31,-1.679856,-0.06486325,0.09298534419338822,0.3339417679355359,0.394785059901339
Sas10,-1.6811037,-0.3751364,0.09274277003000009,0.3331687662527766,0.04420953723279305
eEF1delta,-1.6845046,-0.21461825,0.09208418095555856,0.3310955993118889,0.11219168428470754
CG1983,-1.6848384,-0.29222137,0.09201975414322518,0.3309615766455508,0.07953958186516326
MED8,-1.6849412,-0.36483696,0.09199991956131806,0.3309615766455508,0.04745125675358233
CG3706,-1.6853846,-5.1863265,0.09191437785499397,0.3307777831929499,0.00032887009631195677
CG4866,-1.6857384,-0.4638602,0.09184617989223827,0.33072764747606864,0.044162555790462764
Gale,-1.6868101,-0.3620462,0.09163986073432259,0.3301797997312025,0.04496124031007752
Nup58,-1.6910981,-0.55131096,0.09081807141761153,0.32741244380634926,0.02739018087855297
Lnpk,-1.6913528,-0.33485705,0.09076944245960604,0.3273339450118752,0.057223396758280476
CG6607,-1.6927688,-0.27799362,0.09049947221667495,0.3265536017907197,0.08240544984731031
dUTPase,-1.6939397,-0.53914315,0.09027675478669688,0.32584642111194795,0.030162085976039463
Polr3G,-1.693994,-0.50274867,0.09026640477034541,0.32584642111194795,0.033168898285177356
CG14671,-1.6970166,-0.2871251,0.08969351304959271,0.3240291139779151,0.0631430584918957
Uba3,-1.6972984,-0.661503,0.0896402619813805,0.3239327463062695,0.020530890298332157
Fip1,-1.698766,-0.29397956,0.0893632726265207,0.32302755932522564,0.07484143763213531
Rim,-1.700622,-0.0074496004,0.0890140044964778,0.32205155856561823,0.7214470284237726
Prp19,-1.7040159,-0.4758329,0.08837811749316242,0.32003591031614875,0.02959830866807611
Prx6a,-1.7079152,-0.7392977,0.08765207901189911,0.31797356877263044,0.01935635424007517
CG8004,-1.711394,-0.2188814,0.08700841589641556,0.3157325338974127,0.1063190039934226
Gga,-1.7153039,-0.48717856,0.08628952700164613,0.3134037677661099,0.03359173126614987
CG17660,-1.7187425,-0.34180537,0.08566127129091457,0.31149320876042885,0.05271317829457364
Pih1D1,-1.722693,-0.24427567,0.084944060620822,0.3092542278695339,0.08860700023490721
CCT5,-1.7251816,-0.39548448,0.08449476191001438,0.307894365596761,0.041578576462297394
beg,-1.725211,-0.49148777,0.08448945018916962,0.307894365596761,0.028893587033121917
l(3)07882,-1.7262229,-0.4418601,0.08430731856938938,0.30739512594743856,0.03941743011510453
IPIP,-1.7275468,-0.25253937,0.08406950166088331,0.3066197354112827,0.08456659619450317
Chi,-1.7280202,-0.27041313,0.08398459912605477,0.3064017595772169,0.08315715292459479
CG7049,-1.7280846,-0.48650458,0.08397307360089701,0.3064017595772169,0.034437397228094906
Jhbp2,-1.7286202,-0.17906655,0.08387710179019163,0.30637638409369067,0.1525017618040874
CG30392,-1.7286471,-0.26193404,0.08387226153027941,0.30637638409369067,0.09706365985435753
CG10904,-1.7294699,-0.48815098,0.08372503512407788,0.30609611671487263,0.03659854357528776
Ns3,-1.7329515,-0.66586864,0.08310429447047388,0.3040090772210703,0.021987315010570826
CG10214,-1.7378345,-0.2853703,0.08223999702845963,0.3012128967363161,0.06784120272492365
