names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
mip130,0.50284487,0.19591913,0.6150733552974315,1.0,0.02731012255629532
Cog2,0.5021446,0.17217745,0.6155658201609361,1.0,0.024511259064501082
eya,0.5004963,0.6460372,0.6167256202899666,1.0,0.00932954497264747
CarT,0.50028354,1.5815274,0.6168754621056187,1.0,0.004495144395911963
CG17739,0.5001578,0.2330877,0.6169639882559925,1.0,0.016072261566515415
Kpc1,0.49964383,0.48321894,0.6173258834366024,1.0,0.010516941605529876
RpL28,0.4994749,0.013749388,0.6174448464380913,1.0,0.7963190704380645
rn,0.4988735,0.061228946,0.6178685002125164,1.0,0.06021797209617913
asRNA:CR46194,0.49853683,0.714231,0.6181057271401896,1.0,0.007548450023323863
Mitofilin,0.49815884,0.05435874,0.6183720878287577,1.0,0.14125779229040328
CG42346,0.49804825,0.074364066,0.6184500305020708,1.0,0.13375174928968236
lncRNA:CR45558,0.4973071,1.7268661,0.6189725173379768,1.0,0.003986260124676647
dia,0.49698743,0.19191203,0.6191979109279129,1.0,0.027819006827530638
Naam,0.4966371,0.5357351,0.619444977021417,1.0,0.00848140452058861
CG17712,0.49656856,0.08711632,0.6194933268759002,1.0,0.04609643356939909
Drak,0.49654585,0.04210396,0.6195093548152002,1.0,0.18387685000636106
dbr,0.49646214,0.1716751,0.6195683926180988,1.0,0.03905686781731055
wol,0.49575278,0.061961576,0.6200688431471056,1.0,0.04524829311734023
CG5026,0.49530324,0.26375204,0.6203860911324914,1.0,0.019422416352147916
vir-1,0.49481466,0.079065524,0.6207309479047727,1.0,0.04656291081803147
THADA,0.49456206,0.36837298,0.6209092902739679,1.0,0.013697468300750604
PolD3,0.493972,0.2450977,0.6213259548974444,1.0,0.01696280904117722
Arp8,0.49367696,0.16034973,0.6215343327650688,1.0,0.022899792205589246
Rab3GAP1,0.49355805,0.13029154,0.6216183344815691,1.0,0.03133878970357491
RhoGAP92B,0.4935573,0.11621993,0.6216188695401528,1.0,0.04075314872142827
smid,0.49251276,0.1317115,0.6223569055569309,1.0,0.04669013188584029
by,0.49215335,1.0914876,0.6226109441631331,1.0,0.00597939018701497
CG40439,0.49211547,0.71369636,0.6226377158647189,1.0,0.007463635978117976
Sec3,0.49178445,0.21485053,0.6228717217714801,1.0,0.0250201433357364
Odj,0.49154398,0.12918791,0.6230417613996446,1.0,0.047283830202281496
snoRNA:CD78,0.4900874,1.2954935,0.6240720685244692,1.0,0.004834400576735507
CG31038,0.48978364,0.275562,0.6242870095248743,1.0,0.025953097833001145
IntS1,0.48924434,0.21158606,0.6246687291917215,1.0,0.026970866375471778
asRNA:CR43425,0.48880386,0.22388089,0.6249805595237243,1.0,0.02018574275900089
t,0.48850012,1.5230314,0.6251956355525065,1.0,0.0042831092828972475
abs,0.48814374,0.21343505,0.6254480285406305,1.0,0.02701327339807472
MsR2,0.48806876,0.25576532,0.625501141265824,1.0,0.015945040498706587
lbk,0.48782146,0.054688092,0.6256763197365649,1.0,0.13040159450404987
lncRNA:CR45018,0.48767903,0.3395865,0.6257771977866542,1.0,0.009626394130868072
CG8910,0.48732078,0.050259434,0.6260310336514563,1.0,0.13366693524447648
cav,0.4868943,0.40266165,0.6263332258682676,1.0,0.01030490649251516
Kdsr,0.48653945,0.2729343,0.6265847427184863,1.0,0.01976167253297146
RPA2,0.48627964,0.5673133,0.6267689117292985,1.0,0.0076332640685297486
CG14535,0.4846636,0.06718486,0.6279149865934259,1.0,0.08918196853398923
Nf-YA,0.48443297,0.19649592,0.6280786313756873,1.0,0.024553666087104024
CG2126,0.48209053,0.19067667,0.6297416414286536,1.0,0.021245918324074468
grn,0.47917962,0.2506947,0.6318108548719288,1.0,0.025995504855604087
Tsp5D,0.47883004,0.41176257,0.632059538069224,1.0,0.009965650311691616
krz,0.47868803,0.051803287,0.6321605859314342,1.0,0.11852762817522582
CG9360,0.47687885,2.3288076,0.6334484015903978,1.0,0.0034773758534413298
Synd,0.47661334,0.040085778,0.633637475469972,1.0,0.11233620287519613
Ccs,0.47498178,0.16471893,0.634799955152342,1.0,0.022051651753530386
CG1663,0.47456253,0.5674207,0.6350988159768545,1.0,0.008651032611000382
CG6126,0.47448224,0.3148687,0.6351560571755466,1.0,0.012806920826088801
pes,0.47377363,0.47870886,0.6356613322723943,1.0,0.00988083626648573
snu,0.47359943,0.83265376,0.6357855841022653,1.0,0.00597939018701497
Nol9,0.4735786,0.15709376,0.6358004409855588,1.0,0.026674017217251177
Vps13B,0.4730961,0.29737404,0.6361446214331885,1.0,0.015605784317883042
CG43273,0.47068927,0.4331466,0.6378626436126904,1.0,0.010262499469912218
PpD3,0.46858922,0.12612708,0.6393632800877951,1.0,0.04524829311734023
CG9399,0.4685502,0.051531855,0.6393911688429529,1.0,0.06992918027225309
Brf,0.46819344,0.17195413,0.6396462527536486,1.0,0.028751961324795385
sog,0.46818286,0.2442327,0.6396538355178805,1.0,0.01755650735761842
sstn,0.46697167,0.4005011,0.6405201430535916,1.0,0.012849327848691743
repo,0.4661843,0.18547752,0.6410835871545612,1.0,0.01810779865145668
PIG-Q,0.46534806,0.41439128,0.6416822189357632,1.0,0.01323099105211823
mib1,0.46385133,0.085550174,0.6427542645767083,1.0,0.0381239133200458
bru2,0.46302077,0.19713165,0.6433494735788261,1.0,0.020100928713795003
ninaA,0.46190277,0.70769113,0.6441510465959426,1.0,0.006361053390441457
CG6040,0.46158993,0.34664956,0.6443754091507765,1.0,0.011153046944574021
Nna1,0.46155205,0.059482224,0.644402573886731,1.0,0.08154870446545948
ben,0.46029052,0.02134323,0.6453077023986146,1.0,0.3728425427250753
Vps53,0.4600523,0.20621423,0.6454786788370923,1.0,0.029557694754251303
Upf1,0.45977584,0.08747082,0.6456771328553703,1.0,0.059157796531105554
pcx,0.45778182,0.09253272,0.647109194876669,1.0,0.0713286120181502
mi,0.4576648,0.13722287,0.6471932824951112,1.0,0.02964250879945719
CG7655,0.4571213,0.32184786,0.647583845493259,1.0,0.016538738815147787
dnt,0.45683196,0.230323,0.6477918224582695,1.0,0.015775412408294814
GstE14,0.45595255,0.72815883,0.6484240886881532,1.0,0.006573088503456172
Pgant35A,0.4558325,0.21701573,0.6485104255066653,1.0,0.021330732369280354
defl,0.4553625,1.4199191,0.6488484646183643,1.0,0.004198295237691362
Naus,0.45417786,0.03982528,0.6497008293037552,1.0,0.09109028455112167
CG44195,0.45385328,1.011888,0.6499344377067631,1.0,0.005767355074000255
CG17803,0.4537783,0.22397758,0.6499884151380713,1.0,0.021457953437089183
caly,0.45273033,0.21845165,0.6507429281905366,1.0,0.023281455409015734
Tm2,0.45187706,0.8883384,0.6513575468233347,1.0,0.0055129129383825965
Fhos,0.4518517,0.21673423,0.6513758280612097,1.0,0.01776854247063314
lncRNA:CR44317,0.45088366,0.40743485,0.6520734000827779,1.0,0.011873966328824053
Ku80,0.4507992,1.0856794,0.6521342746908253,1.0,0.005258470802764938
l(2)gl,0.4502902,0.8167573,0.652501209286922,1.0,0.005555319960985539
N,0.44943994,0.24211195,0.6531143195876461,1.0,0.018828718035706713
FucTB,0.44876012,0.42921412,0.6536047033306361,1.0,0.009499173063059243
rpr,0.44845298,0.19498004,0.6538263129805921,1.0,0.02463848013230991
Cyp6u1,0.44834846,0.14509909,0.6539017382709442,1.0,0.03155082481658963
Rif1,0.44773263,0.96811944,0.6543461633469203,1.0,0.005046435689750222
CG4953,0.44756714,0.12279441,0.6544656269029093,1.0,0.028921589415207158
CG34310,0.44752094,0.9618028,0.6544989798649343,1.0,0.004749586531529622
ktub,0.44626734,0.14429402,0.6554041469970497,1.0,0.03036342818370722
snoRNA:lola-c,0.44603744,1.9099958,0.6555701948770568,1.0,0.0033077477630295577
how,0.44519857,0.69386977,0.6561762635644,1.0,0.007251600865103261
laza,0.4451198,0.3258859,0.6562331881938881,1.0,0.015393749204868325
AlaRS,0.44500694,0.20102046,0.6563147471510573,1.0,0.021076290233662694
gl,0.4443059,1.345218,0.6568214349347626,1.0,0.004579958441117849
CG14104,0.4439158,0.2426681,0.6571034527433561,1.0,0.016581145837750732
DCTN3-p24,0.4429031,0.0440636,0.657835831731234,1.0,0.08150629744285653
