group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
23,CG43795,30.771675,4.3324227,6.273024297415794e-208,7.64618931612011e-204,0.8821292775665399,0.19869003280755623
23,CG42342,30.324392,3.4288561,5.468422139401277e-202,3.3327298728581083e-198,0.9315589353612167,0.41091172315559654
23,hth,28.341242,3.2389615,1.0732054526594618e-176,3.270325315616545e-173,0.9315589353612167,0.4889726915038937
23,CG42674,27.643461,3.5660696,3.3445290756250194e-168,8.153292980558672e-165,0.8536121673003803,0.26946562211766356
23,Eip63F-1,27.4411,3.9107397,8.872888883165757e-166,1.8025273766151236e-162,0.8022813688212928,0.19624989784123945
24,Jhbp2,73.144455,7.645747,0.0,0.0,0.995822454308094,0.13498374118819872
24,Eaat1,72.95216,8.524105,0.0,0.0,0.9806788511749347,0.040730103724098646
24,CG15522,71.19627,7.3799386,0.0,0.0,0.9624020887728459,0.06121383304455152
24,witty,69.916794,7.4883833,0.0,0.0,0.9472584856396867,0.045227979397593224
24,Octbeta2R,69.69685,4.3617535,0.0,0.0,0.9838120104438642,0.4468799696185706
25,lncRNA:CR34335,46.978672,4.527602,0.0,0.0,1.0,0.9738503895495284
25,Oda,44.43586,3.7689843,0.0,0.0,0.975669099756691,0.7100931404135669
25,CG3168,43.788445,8.522744,0.0,0.0,0.8941605839416058,0.033073633647706636
25,MtnA,43.399963,5.5491548,0.0,0.0,0.9476885644768857,0.3061800714662293
25,eEF1alpha1,42.46383,4.404573,0.0,0.0,0.9367396593673966,0.3656024837443618
26,Arr2,34.926907,9.473811,2.903690027189138e-267,3.5393077741408405e-263,0.9684684684684685,0.1338924334853557
26,Arr1,34.062286,9.81247,2.670216162581133e-254,1.6273632402850716e-250,0.9414414414414415,0.04297061808171882
26,ninaE,30.715155,8.243663,3.5720602520194385e-207,1.4513280803954978e-203,0.8806306306306306,0.1730022278469201
26,trpl,29.971037,8.970539,2.3410028122104228e-197,7.133620819508211e-194,0.8288288288288288,0.01714625640068585
26,ninaC,29.102917,9.168277,3.2974455664931364e-186,8.038512801996968e-183,0.8040540540540541,0.012445616040497825
27,VGlut1,30.704952,4.837978,4.888142124437519e-207,5.958156435476892e-203,0.9935344827586207,0.35219861631257804
27,Argk1,28.858719,2.3151588,3.938750864611076e-183,2.4004717144372206e-179,0.978448275862069,0.7879551526606232
27,Fim,28.677225,3.0574045,7.338937565344115e-181,2.9818103327993145e-177,0.9461206896551724,0.4685986956471014
27,CG34384,27.13454,3.5073464,3.854325265284841e-162,1.174509266463923e-158,0.8836206896551724,0.3013895208428126
